import time: self [us] | cumulative | imported package
import time:       300 |        555 |                             onnxconverter_common.metadata_props
import time:       325 |       1191 |                           onnxconverter_common.onnx_ex
import time:       387 |        387 |                             onnxconverter_common._opt_const_folding
import time:      1124 |       1510 |                           onnxconverter_common.optimizer
import time:       404 |       4760 |                         onnxconverter_common.topology
import time:       184 |        184 |                         onnxconverter_common.shape_calculator
import time:       159 |        159 |                         onnxconverter_common.tree_ensemble
import time:       292 |        292 |                         onnxconverter_common.float16
import time:       199 |        199 |                         onnxconverter_common.auto_mixed_precision
import time:       165 |        165 |                         onnxconverter_common.auto_mixed_precision_model_path
import time:       447 |       8621 |                       onnxconverter_common
import time:        15 |       8635 |                     onnxconverter_common.data_types
import time:       358 |        358 |                       skl2onnx.common.utils_checking
import time:       379 |        736 |                     skl2onnx.common._registration
import time:       282 |        282 |                       skl2onnx.common.data_types
import time:       323 |        604 |                     skl2onnx.common.utils
import time:       568 |        568 |                               scipy._lib._testutils
import time:       415 |        983 |                             scipy._lib
import time:       288 |       1270 |                           scipy._lib.deprecation
import time:       375 |        375 |                           scipy.__config__
import time:      1976 |       1976 |                           scipy.version
import time:       359 |        359 |                           scipy._distributor_init
import time:       593 |        593 |                           scipy._lib._pep440
import time:      6125 |       6125 |                             scipy._lib._ccallback_c
import time:       281 |       6405 |                           scipy._lib._ccallback
import time:      3019 |      13994 |                         scipy
import time:       701 |        701 |                             scipy._lib._util
import time:       526 |       1227 |                           scipy.sparse._sputils
import time:       996 |       2223 |                         scipy.sparse._base
import time:      1634 |       1634 |                           scipy.sparse._sparsetools
import time:       425 |        425 |                             scipy.sparse._data
import time:       368 |        368 |                             scipy.sparse._index
import time:       806 |       1599 |                           scipy.sparse._compressed
import time:       492 |       3723 |                         scipy.sparse._csr
import time:       315 |        315 |                         scipy.sparse._csc
import time:      3078 |       3078 |                           scipy.sparse._csparsetools
import time:       376 |       3454 |                         scipy.sparse._lil
import time:       490 |        490 |                         scipy.sparse._dok
import time:       402 |        402 |                         scipy.sparse._coo
import time:       350 |        350 |                         scipy.sparse._dia
import time:       415 |        415 |                         scipy.sparse._bsr
import time:       410 |        410 |                         scipy.sparse._construct
import time:       272 |        272 |                         scipy.sparse._extract
import time:       277 |        277 |                         scipy.sparse._matrix_io
import time:       428 |        428 |                         scipy.sparse._arrays
import time:     10774 |      10774 |                                   scipy.sparse.linalg._isolve._iterative
import time:       662 |        662 |                                   scipy.sparse.linalg._interface
import time:       461 |        461 |                                   scipy.sparse.linalg._isolve.utils
import time:       864 |        864 |                                     scipy._lib.decorator
import time:       326 |       1190 |                                   scipy._lib._threadsafety
import time:      1287 |      14372 |                                 scipy.sparse.linalg._isolve.iterative
import time:       501 |        501 |                                 scipy.sparse.linalg._isolve.minres
import time:      1763 |       1763 |                                         scipy.linalg._fblas
import time:        52 |         52 |                                         scipy.linalg._cblas
import time:        30 |         30 |                                         scipy.linalg._fblas_64
import time:      1283 |       3126 |                                       scipy.linalg.blas
import time:      2266 |       2266 |                                         scipy.linalg._flapack
import time:        73 |         73 |                                         scipy.linalg._clapack
import time:        31 |         31 |                                         scipy.linalg._flapack_64
import time:      1325 |       3695 |                                       scipy.linalg.lapack
import time:       850 |       7669 |                                     scipy.linalg._misc
import time:      2260 |       2260 |                                     scipy.linalg._cythonized_array_utils
import time:      1239 |       1239 |                                         scipy.linalg._flinalg
import time:       529 |       1768 |                                       scipy.linalg._flinalg_py
import time:      2380 |       2380 |                                       scipy.linalg._decomp
import time:       715 |        715 |                                       scipy.linalg._decomp_svd
import time:      2486 |       2486 |                                       scipy.linalg._solve_toeplitz
import time:       805 |       8151 |                                     scipy.linalg._basic
import time:       518 |        518 |                                     scipy.linalg._decomp_lu
import time:       385 |        385 |                                     scipy.linalg._decomp_ldl
import time:       302 |        302 |                                     scipy.linalg._decomp_cholesky
import time:       295 |        295 |                                     scipy.linalg._decomp_qr
import time:       329 |        329 |                                     scipy.linalg._decomp_qz
import time:       291 |        291 |                                     scipy.linalg._decomp_schur
import time:       140 |        140 |                                     scipy.linalg._decomp_polar
import time:       364 |        364 |                                       scipy.linalg._special_matrices
import time:       298 |        298 |                                       scipy.linalg._expm_frechet
import time:      1574 |       1574 |                                         scipy.linalg._matfuncs_sqrtm_triu
import time:       388 |       1961 |                                       scipy.linalg._matfuncs_sqrtm
import time:      3239 |       3239 |                                         scipy.linalg.cython_lapack
import time:      2524 |       2524 |                                         scipy.linalg.cython_blas
import time:      2163 |       7925 |                                       scipy.linalg._matfuncs_expm
import time:       419 |      10965 |                                     scipy.linalg._matfuncs
import time:       600 |        600 |                                     scipy.linalg._solvers
import time:       339 |        339 |                                     scipy.linalg._procrustes
import time:      1349 |       1349 |                                     scipy.linalg._decomp_update
import time:       207 |        207 |                                     scipy.linalg._sketches
import time:       198 |        198 |                                     scipy.linalg._decomp_cossin
import time:       234 |        234 |                                     scipy.linalg.decomp
import time:       241 |        241 |                                     scipy.linalg.decomp_cholesky
import time:       291 |        291 |                                     scipy.linalg.decomp_lu
import time:       219 |        219 |                                     scipy.linalg.decomp_qr
import time:       125 |        125 |                                     scipy.linalg.decomp_svd
import time:       123 |        123 |                                     scipy.linalg.decomp_schur
import time:       122 |        122 |                                     scipy.linalg.basic
import time:       215 |        215 |                                     scipy.linalg.misc
import time:       326 |        326 |                                     scipy.linalg.special_matrices
import time:       125 |        125 |                                     scipy.linalg.flinalg
import time:       213 |        213 |                                     scipy.linalg.matfuncs
import time:       792 |      37012 |                                   scipy.linalg
import time:       293 |        293 |                                   scipy.sparse.linalg._isolve._gcrotmk
import time:       233 |      37536 |                                 scipy.sparse.linalg._isolve.lgmres
import time:       443 |        443 |                                 scipy.sparse.linalg._isolve.lsqr
import time:       286 |        286 |                                 scipy.sparse.linalg._isolve.lsmr
import time:       215 |        215 |                                 scipy.sparse.linalg._isolve.tfqmr
import time:       609 |      53959 |                               scipy.sparse.linalg._isolve
import time:      1216 |       1216 |                                   scipy.sparse.linalg._dsolve._superlu
import time:        94 |         94 |                                     scikits
import time:        16 |        109 |                                   scikits.umfpack
import time:       766 |       2090 |                                 scipy.sparse.linalg._dsolve.linsolve
import time:       286 |        286 |                                 scipy.sparse.linalg._dsolve._add_newdocs
import time:       242 |       2617 |                               scipy.sparse.linalg._dsolve
import time:      1621 |       1621 |                                     scipy.sparse.linalg._eigen.arpack._arpack
import time:       588 |       2209 |                                   scipy.sparse.linalg._eigen.arpack.arpack
import time:       311 |       2519 |                                 scipy.sparse.linalg._eigen.arpack
import time:       422 |        422 |                                   scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       417 |        838 |                                 scipy.sparse.linalg._eigen.lobpcg
import time:       193 |        193 |                                 scipy.sparse.linalg._eigen._svds
import time:       373 |       3921 |                               scipy.sparse.linalg._eigen
import time:       235 |        235 |                                   scipy.sparse.linalg._onenormest
import time:       443 |        678 |                                 scipy.sparse.linalg._expm_multiply
import time:       376 |       1053 |                               scipy.sparse.linalg._matfuncs
import time:       266 |        266 |                               scipy.sparse.linalg._norm
import time:       127 |        127 |                               scipy.sparse.linalg.isolve
import time:       131 |        131 |                               scipy.sparse.linalg.dsolve
import time:       136 |        136 |                               scipy.sparse.linalg.interface
import time:       120 |        120 |                               scipy.sparse.linalg.eigen
import time:       124 |        124 |                               scipy.sparse.linalg.matfuncs
import time:       453 |      62902 |                             scipy.sparse.linalg
import time:       376 |      63278 |                           scipy.sparse.csgraph._laplacian
import time:      1146 |       1146 |                               scipy.sparse.csgraph._tools
import time:       262 |       1408 |                             scipy.sparse.csgraph._validation
import time:      1660 |       3068 |                           scipy.sparse.csgraph._shortest_path
import time:      1183 |       1183 |                           scipy.sparse.csgraph._traversal
import time:      1240 |       1240 |                           scipy.sparse.csgraph._min_spanning_tree
import time:      1408 |       1408 |                           scipy.sparse.csgraph._flow
import time:      1670 |       1670 |                           scipy.sparse.csgraph._matching
import time:      1594 |       1594 |                           scipy.sparse.csgraph._reordering
import time:       495 |      73932 |                         scipy.sparse.csgraph
import time:       349 |        349 |                         scipy.sparse.base
import time:       207 |        207 |                         scipy.sparse.bsr
import time:       153 |        153 |                         scipy.sparse.compressed
import time:       154 |        154 |                         scipy.sparse.construct
import time:       153 |        153 |                         scipy.sparse.coo
import time:       131 |        131 |                         scipy.sparse.csc
import time:       210 |        210 |                         scipy.sparse.csr
import time:       176 |        176 |                         scipy.sparse.data
import time:       124 |        124 |                         scipy.sparse.dia
import time:       124 |        124 |                         scipy.sparse.dok
import time:       134 |        134 |                         scipy.sparse.extract
import time:       135 |        135 |                         scipy.sparse.lil
import time:       351 |        351 |                         scipy.sparse.sparsetools
import time:       219 |        219 |                         scipy.sparse.sputils
import time:       960 |     104254 |                       scipy.sparse
import time:     35337 |     139590 |                     skl2onnx.common._container
import time:       325 |        325 |                       skl2onnx.common._onnx_optimisation_common
import time:       499 |        824 |                     skl2onnx.common.onnx_optimisation_identity
import time:       688 |     152064 |                   skl2onnx.common._topology
import time:       469 |        469 |                         sklearn._config
import time:       295 |        295 |                         sklearn._distributor_init
import time:      3200 |       3200 |                           sklearn.__check_build._check_build
import time:       314 |       3514 |                         sklearn.__check_build
import time:       387 |        387 |                             timeit
import time:      2039 |       2039 |                             sklearn.utils.murmurhash
import time:       503 |        503 |                             sklearn.utils.class_weight
import time:       388 |        388 |                                   joblib.hashing
import time:       402 |        402 |                                             multiprocessing.process
import time:       263 |        263 |                                             multiprocessing.reduction
import time:       471 |       1135 |                                           multiprocessing.context
import time:       224 |       1358 |                                         multiprocessing
import time:       238 |        238 |                                         multiprocessing.util
import time:       372 |       1967 |                                       joblib.disk
import time:       205 |       2172 |                                     joblib.logger
import time:       368 |       2539 |                                   joblib.func_inspect
import time:       161 |        161 |                                           distutils.debug
import time:       371 |        371 |                                           distutils.errors
import time:       370 |        370 |                                               getopt
import time:       859 |       1229 |                                             distutils.fancy_getopt
import time:       639 |        639 |                                               distutils.dep_util
import time:       240 |        240 |                                                 distutils._log
import time:       894 |       1133 |                                               distutils.spawn
import time:       573 |       2344 |                                             distutils.util
import time:       731 |       4304 |                                           distutils.dist
import time:       169 |        169 |                                             distutils.dir_util
import time:       430 |        430 |                                             distutils.file_util
import time:      1903 |       1903 |                                             distutils.archive_util
import time:       315 |       2816 |                                           distutils.cmd
import time:      1925 |       1925 |                                             configparser
import time:       247 |       2172 |                                           distutils.config
import time:       234 |        234 |                                           distutils.extension
import time:      2596 |      12652 |                                         _distutils_hack.override
import time:       317 |        317 |                                         setuptools.warnings
import time:       198 |        198 |                                             setuptools.extern
import time:       238 |        238 |                                                 setuptools._vendor
import time:       401 |        401 |                                                 setuptools._vendor.zipp
import time:       250 |        250 |                                                     setuptools._vendor.importlib_metadata._functools
import time:       219 |        468 |                                                   setuptools._vendor.importlib_metadata._text
import time:       186 |        186 |                                                   setuptools._vendor.importlib_metadata._compat
import time:       357 |       1010 |                                                 setuptools._vendor.importlib_metadata._adapters
import time:       344 |        344 |                                                 setuptools._vendor.importlib_metadata._meta
import time:       168 |        168 |                                                 setuptools._vendor.importlib_metadata._py39compat
import time:       342 |        342 |                                                 setuptools._vendor.importlib_metadata._collections
import time:       171 |        171 |                                                 setuptools._vendor.importlib_metadata._itertools
import time:      1386 |       4058 |                                               setuptools._vendor.importlib_metadata
import time:       356 |       4413 |                                             setuptools.extern.importlib_metadata
import time:       402 |        402 |                                                 zipp.py310compat
import time:       600 |       1001 |                                               zipp
import time:       153 |        153 |                                                   importlib_metadata._functools
import time:       227 |        380 |                                                 importlib_metadata._text
import time:       206 |        206 |                                                 importlib_metadata._compat
import time:       514 |       1098 |                                               importlib_metadata._adapters
import time:       291 |        291 |                                               importlib_metadata._meta
import time:       142 |        142 |                                               importlib_metadata._py39compat
import time:       296 |        296 |                                               importlib_metadata._collections
import time:       139 |        139 |                                               importlib_metadata._itertools
import time:      1102 |       4066 |                                             importlib_metadata
import time:       245 |        245 |                                               importlib._common
import time:       491 |        736 |                                             importlib.resources
import time:       189 |       9600 |                                           setuptools._importlib
import time:      4283 |      13882 |                                         setuptools.version
import time:       241 |        241 |                                             distutils.filelist
import time:       299 |        540 |                                           setuptools.monkey
import time:       242 |        781 |                                         setuptools.extension
import time:       268 |        268 |                                           distutils.log
import time:       156 |        156 |                                           distutils.command
import time:       142 |        142 |                                             setuptools._vendor.packaging
import time:        53 |        194 |                                           setuptools.extern.packaging
import time:       285 |        285 |                                             setuptools._vendor.ordered_set
import time:        46 |        331 |                                           setuptools.extern.ordered_set
import time:       418 |        418 |                                                 setuptools._vendor.more_itertools.recipes
import time:      1094 |       1511 |                                               setuptools._vendor.more_itertools.more
import time:       169 |       1680 |                                             setuptools._vendor.more_itertools
import time:        48 |       1727 |                                           setuptools.extern.more_itertools
import time:       706 |        706 |                                             distutils.command.bdist
import time:       328 |       1033 |                                           setuptools.command
import time:       271 |        271 |                                           setuptools.windows_support
import time:       165 |        165 |                                               setuptools.errors
import time:       559 |        559 |                                                             setuptools._vendor.packaging._elffile
import time:       475 |       1033 |                                                           setuptools._vendor.packaging._manylinux
import time:       272 |        272 |                                                           setuptools._vendor.packaging._musllinux
import time:       392 |       1697 |                                                         setuptools.extern.packaging.tags
import time:       165 |        165 |                                                           setuptools.extern.packaging._structures
import time:       589 |        753 |                                                         setuptools.extern.packaging.version
import time:       449 |       2898 |                                                       setuptools.extern.packaging.utils
import time:      4868 |       7766 |                                                     setuptools.extern.packaging.specifiers
import time:      4557 |      12323 |                                                   setuptools.extern.packaging._tokenizer
import time:       501 |      12824 |                                                 setuptools.extern.packaging._parser
import time:       367 |      13190 |                                               setuptools.extern.packaging.markers
import time:       381 |        381 |                                               setuptools.extern.packaging.requirements
import time:       157 |        157 |                                                 setuptools._path
import time:       683 |        839 |                                               setuptools.config.expand
import time:       718 |      15291 |                                             setuptools.config.setupcfg
import time:       169 |      15460 |                                           setuptools.config
import time:      1847 |       1847 |                                                 email._header_value_parser
import time:       623 |       2470 |                                               email.headerregistry
import time:       772 |       3241 |                                             setuptools.config._apply_pyprojecttoml
import time:       587 |       3827 |                                           setuptools.config.pyprojecttoml
import time:       427 |        427 |                                           setuptools.discovery
import time:       139 |        139 |                                                 setuptools._vendor.jaraco
import time:        58 |        196 |                                               setuptools.extern.jaraco
import time:       398 |        398 |                                               setuptools.extern.jaraco.functools
import time:       242 |        242 |                                               setuptools.extern.jaraco.context
import time:       566 |       1401 |                                             setuptools.extern.jaraco.text
import time:       251 |       1651 |                                           setuptools._reqs
import time:       160 |        160 |                                             setuptools._itertools
import time:       270 |        430 |                                           setuptools._entry_points
import time:       915 |        915 |                                           setuptools._normalization
import time:       753 |      27437 |                                         setuptools.dist
import time:       204 |        204 |                                             setuptools.py34compat
import time:       160 |        363 |                                           setuptools._imp
import time:       239 |        602 |                                         setuptools.depends
import time:       205 |        205 |                                         setuptools.logging
import time:      2084 |      57955 |                                       distutils
import time:       447 |      58401 |                                     joblib.backports
import time:        91 |         91 |                                         lz4
import time:       558 |        648 |                                       joblib.compressor
import time:       445 |        445 |                                       joblib.numpy_pickle_utils
import time:       315 |        315 |                                       joblib.numpy_pickle_compat
import time:       484 |       1891 |                                     joblib.numpy_pickle
import time:       651 |      60943 |                                   joblib._store_backends
import time:       789 |      64658 |                                 joblib.memory
import time:       798 |        798 |                                     _multiprocessing
import time:       461 |       1258 |                                   joblib._multiprocessing_helpers
import time:      1106 |       1106 |                                       joblib._deprecated_my_exceptions
import time:       199 |       1305 |                                     joblib.my_exceptions
import time:       195 |        195 |                                             joblib.externals
import time:       127 |        127 |                                               concurrent
import time:       530 |        530 |                                               concurrent.futures._base
import time:       183 |        839 |                                             concurrent.futures
import time:       335 |        335 |                                             joblib.externals.loky._base
import time:       398 |        398 |                                                 multiprocessing.synchronize
import time:       331 |        331 |                                                   joblib.externals.loky.backend.process
import time:       417 |        747 |                                                 joblib.externals.loky.backend.context
import time:       306 |       1450 |                                               joblib.externals.loky.backend
import time:        17 |       1466 |                                             joblib.externals.loky.backend.context
import time:        84 |         84 |                                                   _winapi
import time:       401 |        485 |                                                 multiprocessing.connection
import time:       171 |        655 |                                               joblib.externals.loky.backend._posix_reduction
import time:       133 |        133 |                                                   joblib.externals.cloudpickle.compat
import time:       383 |        516 |                                                 joblib.externals.cloudpickle.cloudpickle
import time:       297 |        297 |                                                 joblib.externals.cloudpickle.cloudpickle_fast
import time:       197 |       1009 |                                               joblib.externals.cloudpickle
import time:       220 |       1883 |                                             joblib.externals.loky.backend.reduction
import time:       213 |        213 |                                                   multiprocessing.queues
import time:       309 |        521 |                                                 concurrent.futures.process
import time:       200 |        200 |                                                 joblib.externals.loky.backend.queues
import time:      3058 |       3058 |                                                     psutil._common
import time:       452 |        452 |                                                     psutil._compat
import time:      1476 |       1476 |                                                         psutil._psutil_osx
import time:       626 |       2101 |                                                       psutil._psposix
import time:       823 |        823 |                                                       psutil._psutil_posix
import time:      1044 |       3967 |                                                     psutil._psosx
import time:      1018 |       8494 |                                                   psutil
import time:       174 |       8668 |                                                 joblib.externals.loky.backend.utils
import time:       217 |        217 |                                                 joblib.externals.loky.initializers
import time:       570 |      10173 |                                               joblib.externals.loky.process_executor
import time:       210 |      10382 |                                             joblib.externals.loky.reusable_executor
import time:       192 |        192 |                                             joblib.externals.loky.cloudpickle_wrapper
import time:       563 |      15851 |                                           joblib.externals.loky
import time:        18 |      15869 |                                         joblib.externals.loky.backend
import time:       444 |        444 |                                             runpy
import time:       224 |        667 |                                           joblib.externals.loky.backend.spawn
import time:       237 |        904 |                                         joblib.externals.loky.backend.resource_tracker
import time:       298 |      17070 |                                       joblib._memmapping_reducer
import time:       675 |        675 |                                       multiprocessing.pool
import time:       539 |      18283 |                                     joblib.pool
import time:       211 |        211 |                                     joblib.executor
import time:       571 |      20368 |                                   joblib._parallel_backends
import time:       167 |        167 |                                   joblib._utils
import time:       514 |      22306 |                                 joblib.parallel
import time:       251 |        251 |                                 joblib._cloudpickle_wrapper
import time:       405 |      87619 |                               joblib
import time:       474 |      88092 |                             sklearn.utils._joblib
import time:       541 |        541 |                             sklearn.exceptions
import time:       229 |        229 |                             sklearn.utils.deprecation
import time:       286 |        286 |                             sklearn.utils.discovery
import time:       762 |        762 |                                 scipy.stats._warnings_errors
import time:       332 |        332 |                                         unittest.util
import time:       689 |       1021 |                                       unittest.result
import time:       858 |        858 |                                         difflib
import time:       671 |       1528 |                                       unittest.case
import time:       987 |        987 |                                       unittest.suite
import time:       770 |        770 |                                       unittest.loader
import time:       155 |        155 |                                           unittest.signals
import time:       846 |       1000 |                                         unittest.runner
import time:       616 |       1616 |                                       unittest.main
import time:       446 |       6366 |                                     unittest
import time:       664 |        664 |                                       numpy.testing._private
import time:      1043 |       1043 |                                       numpy.linalg.lapack_lite
import time:       849 |       2555 |                                     numpy.testing._private.utils
import time:       359 |        359 |                                     numpy.testing._private.extbuild
import time:       280 |        280 |                                     numpy.testing._private.decorators
import time:       220 |        220 |                                     numpy.testing._private.nosetester
import time:       521 |      10298 |                                   numpy.testing
import time:      2140 |       2140 |                                         scipy.spatial._ckdtree
import time:       589 |       2728 |                                       scipy.spatial._kdtree
import time:      1172 |       1172 |                                         scipy._lib.messagestream
import time:      3289 |       4461 |                                       scipy.spatial._qhull
import time:      1277 |       1277 |                                         scipy.spatial._voronoi
import time:       362 |       1639 |                                       scipy.spatial._spherical_voronoi
import time:       638 |        638 |                                       scipy.spatial._plotutils
import time:       277 |        277 |                                       scipy.spatial._procrustes
import time:      1020 |       1020 |                                           scipy.spatial._distance_wrap
import time:      1137 |       1137 |                                           scipy.spatial._hausdorff
import time:       658 |        658 |                                             scipy.special._sf_error
import time:      2633 |       2633 |                                               scipy.special._ufuncs_cxx
import time:     20686 |      23318 |                                             scipy.special._ufuncs
import time:      1689 |       1689 |                                               scipy.special._specfun
import time:       952 |        952 |                                               scipy.special._comb
import time:       894 |       3534 |                                             scipy.special._basic
import time:       396 |        396 |                                             scipy.special._logsumexp
import time:       530 |        530 |                                             scipy.special._orthogonal
import time:       270 |        270 |                                             scipy.special._spfun_stats
import time:      1059 |       1059 |                                               scipy.special._ellip_harm_2
import time:       240 |       1298 |                                             scipy.special._ellip_harm
import time:       185 |        185 |                                             scipy.special._lambertw
import time:       303 |        303 |                                             scipy.special._spherical_bessel
import time:       715 |        715 |                                               scipy.special._add_newdocs
import time:       234 |        948 |                                             scipy.special.add_newdocs
import time:       247 |        247 |                                             scipy.special.basic
import time:       176 |        176 |                                             scipy.special.orthogonal
import time:       171 |        171 |                                             scipy.special.specfun
import time:       139 |        139 |                                             scipy.special.sf_error
import time:       126 |        126 |                                             scipy.special.spfun_stats
import time:       732 |      33025 |                                           scipy.special
import time:      1957 |       1957 |                                           scipy.spatial._distance_pybind
import time:      3346 |      40482 |                                         scipy.spatial.distance
import time:       179 |      40661 |                                       scipy.spatial._geometric_slerp
import time:       206 |        206 |                                       scipy.spatial.ckdtree
import time:       206 |        206 |                                       scipy.spatial.kdtree
import time:       212 |        212 |                                       scipy.spatial.qhull
import time:       121 |        121 |                                           backports_abc
import time:      3216 |       3216 |                                               scipy.constants._codata
import time:       376 |        376 |                                               scipy.constants._constants
import time:       249 |        249 |                                               scipy.constants.codata
import time:       152 |        152 |                                               scipy.constants.constants
import time:      1106 |       5097 |                                             scipy.constants
import time:       274 |       5370 |                                           scipy.spatial.transform._rotation_groups
import time:      2569 |       8059 |                                         scipy.spatial.transform._rotation
import time:       314 |        314 |                                         scipy.spatial.transform._rotation_spline
import time:       172 |        172 |                                         scipy.spatial.transform.rotation
import time:       441 |       8986 |                                       scipy.spatial.transform
import time:       448 |      60457 |                                     scipy.spatial
import time:        15 |      60471 |                                   scipy.spatial.distance
import time:       349 |        349 |                                       scipy.ndimage._ni_support
import time:      1213 |       1213 |                                       scipy.ndimage._nd_image
import time:       260 |        260 |                                         scipy._lib.doccer
import time:       452 |        712 |                                       scipy.ndimage._ni_docstrings
import time:      2579 |       4851 |                                     scipy.ndimage._filters
import time:       305 |        305 |                                     scipy.ndimage._fourier
import time:       955 |        955 |                                     scipy.ndimage._interpolation
import time:      1965 |       1965 |                                       scipy.ndimage._ni_label
import time:       368 |        368 |                                       scipy.ndimage._morphology
import time:       422 |       2754 |                                     scipy.ndimage._measurements
import time:       275 |        275 |                                     scipy.ndimage.filters
import time:       190 |        190 |                                     scipy.ndimage.fourier
import time:       124 |        124 |                                     scipy.ndimage.interpolation
import time:       120 |        120 |                                     scipy.ndimage.measurements
import time:       120 |        120 |                                     scipy.ndimage.morphology
import time:       473 |      10162 |                                   scipy.ndimage
import time:       423 |        423 |                                       scipy.stats._distr_params
import time:      1231 |       1231 |                                           scipy.optimize._minpack2
import time:      1095 |       2325 |                                         scipy.optimize._linesearch
import time:      1046 |       1046 |                                           scipy.optimize._group_columns
import time:       411 |       1457 |                                         scipy.optimize._numdiff
import time:       441 |        441 |                                         scipy.optimize._hessian_update_strategy
import time:       516 |        516 |                                         scipy.optimize._differentiable_functions
import time:      2064 |       6801 |                                       scipy.optimize._optimize
import time:       384 |        384 |                                           scipy.optimize._trustregion
import time:       421 |        804 |                                         scipy.optimize._trustregion_dogleg
import time:       240 |        240 |                                         scipy.optimize._trustregion_ncg
import time:      1957 |       1957 |                                             scipy.optimize._trlib._trlib
import time:       283 |       2240 |                                           scipy.optimize._trlib
import time:       172 |       2411 |                                         scipy.optimize._trustregion_krylov
import time:       275 |        275 |                                         scipy.optimize._trustregion_exact
import time:       355 |        355 |                                             scipy.optimize._constraints
import time:        98 |         98 |                                                   sksparse
import time:        21 |        118 |                                                 sksparse.cholmod
import time:       342 |        460 |                                               scipy.optimize._trustregion_constr.projections
import time:       287 |        287 |                                               scipy.optimize._trustregion_constr.qp_subproblem
import time:       264 |       1011 |                                             scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       274 |        274 |                                             scipy.optimize._trustregion_constr.canonical_constraint
import time:       288 |        288 |                                             scipy.optimize._trustregion_constr.tr_interior_point
