iter	RMSE	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
52	0.1115328894	0.1083333333	0.9365079365	0.4472222222
53	0.1102362555	0.1166666667	0.9484126984	0.4538359788
54	0.1090641038	0.1166666667	0.9484126984	0.4574074074
55	0.1082626704	0.1166666667	0.9484126984	0.4615740741
56	0.1073387003	0.1166666667	0.9484126984	0.4615740741
57	0.1058938806	0.1166666667	0.9484126984	0.4574074074
58	0.1049719752	0.1166666667	0.9484126984	0.4824074074
59	0.1035563924	0.1166666667	0.9484126984	0.4824074074
60	0.1020181688	0.1166666667	0.9484126984	0.4685185185
61	0.1006474333	0.1166666667	0.9484126984	0.4685185185
62	0.09933097337	0.1166666667	0.9484126984	0.5101851852
63	0.09853138651	0.1166666667	0.9484126984	0.5132275132
64	0.09756095957	0.125	0.9603174603	0.5227843915
65	0.09687576597	0.125	0.9603174603	0.5227843915
66	0.09606744332	0.125	0.9603174603	0.5345238095
67	0.09557521865	0.125	0.9603174603	0.5345238095
68	0.09478739185	0.125	0.9603174603	0.5214285714
69	0.09370258441	0.125	0.9603174603	0.5181547619
70	0.09294842657	0.125	0.9603174603	0.5181547619
71	0.09179881676	0.125	0.9603174603	0.5320436508
72	0.09064831373	0.125	0.9603174603	0.5304563492
73	0.08955939954	0.125	0.9603174603	0.5320436508
74	0.08882320163	0.125	0.9603174603	0.5363095238
75	0.08802001084	0.125	0.9603174603	0.537585034
76	0.08707667547	0.125	0.9603174603	0.537585034
77	0.08663342286	0.1333333333	0.9722222222	0.5468442933
78	0.08599428776	0.1333333333	0.9722222222	0.5512093726
79	0.08530816852	0.1333333333	0.9722222222	0.55236678
80	0.08435636442	0.1333333333	0.9722222222	0.5540674603
81	0.08311745538	0.1333333333	0.9722222222	0.5540674603
82	0.08236312604	0.1333333333	0.9722222222	0.5540674603
83	0.08193310455	0.1333333333	0.9722222222	0.5540674603
84	0.08131935885	0.1333333333	0.9722222222	0.5540674603
85	0.08100749478	0.1333333333	0.9722222222	0.5540674603
86	0.08026976785	0.1333333333	0.9722222222	0.5540674603
87	0.07947767147	0.1333333333	0.9722222222	0.5540674603
88	0.07892955209	0.1333333333	0.9722222222	0.5540674603
89	0.07780752855	0.1333333333	0.9722222222	0.5540674603
90	0.07696223627	0.1333333333	0.9722222222	0.5540674603
91	0.07633063323	0.1333333333	0.9722222222	0.5540674603
92	0.07571842584	0.1333333333	0.9722222222	0.5540674603
93	0.07543638908	0.1333333333	0.9722222222	0.5540674603
94	0.07474493134	0.1333333333	0.9722222222	0.5540674603
95	0.07426533509	0.1333333333	0.9722222222	0.5540674603
96	0.073964449	0.1333333333	0.9722222222	0.5540674603
97	0.07327500732	0.1333333333	0.9722222222	0.5540674603
98	0.07306572945	0.1333333333	0.9722222222	0.5540674603
99	0.07266931238	0.1333333333	0.9722222222	0.5540674603
